Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,173.86000061035156,177.1199951171875,173.86000061035156,176.72999572753906,174.50770568847656,1221400
2021-08-31,177.10000610351562,177.19000244140625,174.8300018310547,175.47000122070312,173.2635955810547,1733200
2021-09-01,175.0399932861328,175.74000549316406,174.3800048828125,175.4499969482422,173.2438201904297,1429000
2021-09-02,176.4499969482422,178.33999633789062,175.6999969482422,178.02000427246094,175.78150939941406,1194000
2021-09-03,177.6699981689453,179.57000732421875,177.02999877929688,179.27999877929688,177.0256805419922,971800
2021-09-07,179.27999877929688,179.3699951171875,176.7899932861328,177.72000122070312,175.48529052734375,1252000
2021-09-08,177.4199981689453,179.17999267578125,176.57000732421875,178.72999572753906,176.48255920410156,1174600
2021-09-09,179.07000732421875,179.36000061035156,177.02000427246094,177.22999572753906,175.00143432617188,1010000
2021-09-10,177.72000122070312,179.30999755859375,177.1699981689453,177.22999572753906,175.00143432617188,1086300
2021-09-13,177.66000366210938,178.0,170.22000122070312,172.0800018310547,169.9161834716797,2274300
2021-09-14,172.5500030517578,173.97999572753906,171.75999450683594,172.4199981689453,170.25192260742188,1337400
2021-09-15,172.07000732421875,175.1300048828125,171.38999938964844,173.7899932861328,171.60467529296875,1535300
2021-09-16,173.92999267578125,173.92999267578125,171.10000610351562,173.27999877929688,171.1011199951172,1142000
2021-09-17,173.9199981689453,177.36000061035156,172.8000030517578,173.94000244140625,171.75282287597656,2405700
2021-09-20,170.5,172.5800018310547,169.11000061035156,171.33999633789062,169.18551635742188,1599400
2021-09-21,172.3000030517578,173.60000610351562,171.19000244140625,171.44000244140625,169.2842254638672,1059800
2021-09-22,172.17999267578125,173.32000732421875,170.91000366210938,172.44000244140625,170.2716827392578,981000
2021-09-23,173.5,174.35000610351562,172.49000549316406,172.77000427246094,170.59751892089844,1654600
2021-09-24,172.08999633789062,173.0800018310547,171.1999969482422,172.39999389648438,170.232177734375,1041900
2021-09-27,171.05999755859375,171.14999389648438,164.25999450683594,166.3800048828125,164.28787231445312,1419700
2021-09-28,164.19000244140625,164.3300018310547,158.7899932861328,159.89999389648438,157.88934326171875,2541000
2021-09-29,161.38999938964844,161.80999755859375,159.8300018310547,160.0,157.9881134033203,1268200
2021-09-30,161.22999572753906,162.47999572753906,157.4600067138672,157.52999877929688,155.5491485595703,1542800
2021-10-01,157.14999389648438,157.5,153.0500030517578,155.99000549316406,154.02850341796875,1881900
2021-10-04,155.24000549316406,156.3000030517578,151.25999450683594,152.36000061035156,150.63150024414062,1758300
2021-10-05,153.47999572753906,155.77999877929688,152.33999633789062,153.02999877929688,151.29388427734375,1494300
2021-10-06,152.5500030517578,154.25999450683594,151.6199951171875,153.64999389648438,151.9068603515625,1794700
2021-10-07,155.05999755859375,157.47999572753906,154.9600067138672,155.32000732421875,153.5579376220703,1002800
2021-10-08,156.17999267578125,156.9199981689453,152.10000610351562,152.47000122070312,150.74026489257812,904100
2021-10-11,151.49000549316406,152.36000061035156,149.8800048828125,150.02000427246094,148.31805419921875,1106300
